# 混合語言測資（第五組）：日文緊接英文，中間沒有空白
#
# 使用者實測時提出的案例。這組的共同結構是**日文詞直接黏著英文詞**，
# 中間沒有任何分隔線索——不像中文有聲調鍵、英文詞之間有空白。
#
# 這是目前已知最難的一類，多數案例現在是**過不了的**。
# 測資保留失敗案例是刻意的：測資反映真實需求，不是反映目前的能力。
# 把做不到的案例排除在外，數字會好看，但下次改動時無從得知有沒有
# 修好、或有沒有弄得更糟。
#
# 為什麼難：日文引擎對整串永遠給得出「純假名兜底」的答案
# （`seitannlive` → `せいたんぃヴェ`），那條路徑只有一段、不必付
# 跨語言分段懲罰；而正解 `生誕|live` 要付一次懲罰。當日文詞本身
# 信心度不高時（生誕 0.364），懲罰會蓋過證據。
#
# 曾嘗試「日文接英文時減輕分段懲罰」，實測修好 2 個、弄壞 1 個，
# 而弄壞的是 `hi|今天` → `昼|p |天`——使用者打的鍵消失了，
# 那是比排序更嚴重的等級。詳見開發文件 §4.43。
#
# 格式：文字期望 <TAB> 按鍵期望 <TAB> 按鍵序列
#
#   第一欄 文字期望：各段用 `|` 分隔，`_` = 分隔符空白自成一段
#   第二欄 按鍵期望：**同樣的切法標在按鍵層級**，`|` 就是切點位置
#   第三欄 按鍵序列：使用者實際按的鍵
#
#   第二欄是計分基準——它不需要任何推導，逐字元比對即可。
#   按鍵序列裡的空白可能是「一聲」也可能是「分隔符」，正是要測的東西：
#     `check| |u vu84`   第一個空白是分隔符（前後都切），第二個是「一」的一聲

# 日文詞 + 英文詞，無分隔
生誕|live	seitann|live	seitannlive
明日|meeting	ashita|meeting	ashitameeting
今日|test	kyou|test	kyoutest
一緒に|lunch	issyoni|lunch	issyonilunch
寿司|buffet	sushi|buffet	sushibuffet

# 對照組：這些現在是對的，不能被弄壞
debug	debug	debug
javascript	javascript	javascript
localhost	localhost	localhost
hi|今天	hi|rup wu0 	hirup wu0 
